Emp ID,First Name,Last Name,Gender,Father's Name,Mother's Name,Date of Birth,Age in Company (Years),Phone No. ,City,State,Zip
1,Lois,Walker,F,Donald Walker,Helen Walker,3/29/1981,13.68,303-572-8492,Denver,CO,80224
2,Brenda,Robinson,F,Raymond Robinson,Judy Robinson,7/31/1970,9.01,225-945-4954,Stonewall,LA,71078
3,Joe,Robinson,M,Scott Robinson,Stephanie Robinson,6/16/1963,0.98,219-904-2161,Michigantown,IN,46057
4,Diane,Evans,F,Jason Evans,Michelle Evans,12/4/1977,18.3,215-793-6791,Hydetown,PA,16328
5,Benjamin,Russell,M,Gregory Russell,Elizabeth Russell,4/17/1977,4.01,262-404-2252,Fremont,WI,54940
6,Patrick,Bailey,M,Ralph Bailey,Laura Bailey,9/27/1982,12.02,319-812-6957,Macksburg,IA,50155
7,Nancy,Baker,F,Scott Baker,Judy Baker,6/13/1995,0.87,229-336-5117,Atlanta,GA,30334
8,Carol,Murphy,F,Eugene Murphy,Katherine Murphy,6/30/1958,34.52,216-336-0009,Blanchester,OH,45107
9,Frances,Young,F,Fred Young,Lillian Young,6/9/1959,23.27,210-819-9765,Delmita,TX,78536
10,Diana,Peterson,F,Jonathan Peterson,Christina Peterson,11/13/1987,3.44,479-783-5656,Eureka Springs,AR,72632
11,Ralph,Flores,M,Terry Flores,Michelle Flores,2/5/1975,8.29,316-280-2864,Sabetha,KS,66534
12,Jack,Alexander,M,Samuel Alexander,Sharon Alexander,5/19/1995,0.56,702-603-3769,Las Vegas,NV,89170
13,Melissa,King,F,Philip King,Maria King,2/24/1972,1.68,216-605-3731,New Matamoras,OH,45767
14,Wayne,Watson,M,Ronald Watson,Margaret Watson,6/26/1996,0.02,701-231-9370,Maida,ND,58255
15,Cheryl,Scott,F,Richard Scott,Lois Scott,2/23/1958,26.69,215-288-9345,Quecreek,PA,15555
16,Paula,Diaz,F,Alan Diaz,Kathryn Diaz,8/22/1966,22.95,252-531-7641,Beulaville,NC,28518
17,Joshua,Stewart,M,Todd Stewart,Martha Stewart,5/18/1970,14.91,217-279-9342,New Douglas,IL,62074
18,Theresa,Lee,F,John Lee,Rebecca Lee,12/5/1992,2.52,319-553-8919,Toeterville,IA,50481
